question,answer,tags
What do you understand by ‘Database’?,Database is an organized collection of related data where the data is stored and organized to serve some specific purpose.,database
Define DBMS.,"DBMS stands for Database Management System. It is a collection of application programs which allow the user to organize, restore and retrieve information about data efficiently and as effectively as possible.",database
Define RDBMS.,Relational Database Management System(RDBMS) is based on a relational model of data that is stored in databases in separate tables and they are related to the use of a common column. Data can be accessed easily from the relational database using Structured Query Language (SQL).,database
Enlist the advantages of DBMS.,Data is stored in a structured way and hence redundancy is controlled. Validates the data entered and provide restrictions on unauthorized access to the database. Provides backup and recovery of the data when required. It provides multiple user interfaces.,database
What do you understand by Data Redundancy?,"Duplication of data in the database is known as data redundancy. As a result of data redundancy, duplicated data is present at multiple locations, hence it leads to wastage of the storage space and the integrity of the database is destroyed.",database
What are the various types of relationships in Database? Define them.,"There are 3 types of relationships in Database. One-to-one: One table has a relationship with another table having the similar kind of column. Each primary key relates to only one or no record in the related table. One-to-many: One table has a relationship with another table that has primary and foreign key relations. The primary key table contains only one record that relates to none, one or many records in the related table. Many-to-many: Each record in both the tables can relate to many numbers of records in another table.",database
Explain Normalization and De-Normalization.,Normalization is the process of removing redundant data from the database by splitting the table in a well-defined manner in order to maintain data integrity. This process saves much of the storage space. De-normalization is the process of adding up redundant data on the table in order to speed up the complex queries and thus achieve better performance.,database
What are the different types of Normalization?,Different types of Normalization are. First Normal Form (1NF): A relation is said to be in 1NF only when all the entities of the table contain unique or atomic values. Second Normal Form (2NF): A relation is said to be in 2NF only if it is in 1NF and all the non-key attribute of the table is fully dependent on the primary key. Third Normal Form (3NF): A relation is said to be in 3NF only if it is in 2NF and every non-key attribute of the table is not transitively dependent on the primary key.,database
What is BCNF?,BCNF is the Boyce Code Normal form. It is the higher version of 3Nf which does not have any multiple overlapping candidate keys.,database
What is SQL?,"Structured Query language, SQL is an American National Standard Institute standard programming language that is designed specifically for storing and managing the data in the relational database management system (RDBMS) using all kinds of data operations.",database
How many SQL statements are used? Define them.,"SQL statements are basically divided into three categories, DDL, DML, and DCL. They can be defined as. Data Definition Language (DDL) commands are used to define the structure that holds the data. These commands are auto-committed i.e. changes done by the DDL commands on the database are saved permanently. Data Manipulation Language (DML) commands are used to manipulate the data of the database. These commands are not auto-committed and can be rolled back. Data Control Language (DCL) commands are used to control the visibility of the data in the database like revoke access permission for using data in the database.",database
"Enlist some commands of DDL, DML, and DCL.",Data Definition Language (DDL) commands: CREATE to create a new table or database. ALTER for alteration. TRUNCATE to delete data from the table. DROP to drop a table. RENAME to rename a table. Data Manipulation Language (DML) commands: INSERT to insert a new row. UPDATE to update an existing row. DELETE to delete a row. MERGE for merging two rows or two tables. Data Control Language (DCL) commands: COMMIT to permanently save. ROLLBACK to undo the change. SAVEPOINT to save temporarily.,database
Define DML Compiler.,DML compiler translates DML statements in a query language into a low-level instruction and the generated instruction can be understood by Query Evaluation Engine.,database
What is DDL interpreter?,DDL Interpreter interprets the DDL statements and records the generated statements in the table containing metadata.,database
Enlist the advantages of SQL.,Advantages of SQL are: Simple SQL queries can be used to retrieve a large amount of data from the database very quickly and efficiently. SQL is easy to learn and almost every DBMS supports SQL. It is easier to manage the database using SQL as no large amount of coding is required.,database
"Explain the terms ‘Record’, ‘Field’ and ‘Table’ in terms of database.","Record: Record is a collection of values or fields of a specific entity. For Example, An employee, Salary account, etc. Field: A field refers to an area within a record that is reserved for specific data. For Example, Employee ID. Table: Table is the collection of records of specific types. For Example, the Employee table is a collection of records related to all the employees.",database
What do you understand by Data Independence? What are its two types?,Data Independence refers to the ability to modify the schema definition in one level in such a way that it does not affect the schema definition in the next higher level. The 2 types of Data Independence are: Physical Data Independence: It modifies the schema at the physical level without affecting the schema at the conceptual level. Logical Data Independence: It modifies the schema at the conceptual level without affecting or causing changes in the schema at the view level.,database
Define the relationship between ‘View’ and ‘Data Independence’.,View is a virtual table that does not have its data on its own rather the data is defined from one or more underlying base tables.  Views account for logical data independence as the growth and restructuring of base tables are not reflected in views.,database
What are the advantages and disadvantages of views in the database?,"Advantages of Views: As there is no physical location where the data in the view is stored, it generates output without wasting resources. Data access is restricted as it does not allow commands like insertion, updation, and deletion. Disadvantages of Views: The view becomes irrelevant if we drop a table related to that view. Much memory space is occupied when the view is created for large tables.",database
What do you understand by Functional dependency?,A relation is said to be in functional dependency when one attribute uniquely defines another attribute.,database
When is functional dependency said to be the fully functional dependent?,"To fulfill the criteria of fully functional dependency, the relation must meet the requirement of functional dependency. A functional dependency ‘A’ and ‘B’ are said to be fully functional dependent when removal of any attribute say ‘X’ from ‘A’ means the dependency does not hold anymore.",database
What do you understand by the E-R model?,E-R model is an Entity-Relationship model which defines the conceptual view of the database. The E-R model basically shows the real-world entities and their association/relations. Entities here represent the set of attributes in the database.,database
"Define Entity, Entity type, and Entity set.","Entity can be anything, be it a place, class or object which has an independent existence in the real world. Entity Type represents a set of entities that have similar attributes. Entity Set in the database represents a collection of entities having a particular entity type.",database
Define a Weak Entity set.,Weak Entity set is the one whose primary key comprises its partial key as well as the primary key of its parent entity. This is the case because the entity set may not have sufficient attributes to form a primary key.,database
Explain the terms ‘Attribute’ and ‘Relations’,"Attribute is described as the properties or characteristics of an entity. For Example, Employee ID, Employee Name, Age, etc., can be attributes of the entity Employee. Relation is a two-dimensional table containing a number of rows and columns where every row represents a record of the relation. Here, rows are also known as ‘Tuples’ and columns are known as ‘Attributes’.",database
What are VDL and SDL?,VDL is View Definition Language which represents user views and their mapping to the conceptual schema. SDL is Storage Definition Language which specifies the mapping between two schemas.,database
Define Cursor and its types.,"Cursor is a temporary work area that stores the data, as well as the result set, occurred after manipulation of data retrieved. A cursor can hold only one row at a time. The 2 types of Cursor are: Implicit cursors are declared automatically when DML statements like INSERT, UPDATE, DELETE is executed. Explicit cursors have to be declared when SELECT statements that are returning more than one row are executed.",database
What is the Database transaction?,"Sequence of operation performed which changes the consistent state of the database to another is known as the database transaction. After the completion of the transaction, either the successful completion is reflected in the system or the transaction fails and no change is reflected.",database
What is .NET and how does it work?,".NET is a virtual machine that writes, reads and executes strings of code in order to design web applications. Developers compile code for .NET in the coding languages of C# or VB .NET that then translates into other coding languages so the computer can execute it in CLR (Common Language Runtime).",.NET
What are the common acronyms used in .NET?,"Three acronyms that appear often for developers using .NET are IL, which stands for Intermediate Language, CIL, which stands for Common Intermediate Language and CLI, which stands for Common Language Infrastructure.",.NET
How are objects and classes used in .NET?,"In .NET, an object occurs when a developer creates a class. A class works as a template for creating more objects. The class defines an object based on its characteristics, functions, properties and methods for use.",.NET
What is .NET Web Service?,"A web service is a reusable component that developers can use to make their application accessible over the internet and interactive with other online applications or programs. These services use web protocols and data formats like HTTP, XML and SOAP to access data across platforms and programming languages. The .NET includes a variety of classes that allow for interaction with different web services.",.NET
What is OOP in relation to .NET?,"OOP stands for object-oriented programming, and developers can use it in .NET to create new classes with methods, properties, events and more. It also allows developers to make modular programs that they can use as foundations for new applications. OOPs typically have four common features, which are encapsulation, polymorphism, inheritance and abstraction.",.NET
What is the difference between managed and unmanaged code in .NET?,"The .NET framework uses Common Language Runtime  to run strings of code. When a developer writes code in one of .NET's coding languages C# or Visual Basic .NET to then run in CLR, these become managed code. Managed code can run on any platform because it's based in the CLR instead of the computer's operating system. Unmanaged code describes code written in other languages like C or C++. This can mean that developers might have more challenges accessing it across platforms because it doesn't use the CLR to do so.",.NET
When is it best to use .NET Web Forms instead of ASP.NET MVC?,"Many developers use ASP .NET MVC because of its ability to break down applications into discrete models, views and controllers, which makes testing them easy. However, the .NET framework and its Web Forms might be preferable to developers who want to create simple applications rapidly, as using .NET Web Forms doesn't require them to learn new coding or programming languages.",.NET
What is JSON data and how do developers use it in .NET?,JSON stands for JavaScript Object Notation and allows developers to organize their data in a way that's easy to read. It also lets developers edit JSON feeds on other websites and implement them quickly. JSON helps developers define classes that use elements from JSON text as well.,.NET
What is the Native Image Generator in .NET?,"The Native Image Generator translates the .NET assemblies to machine code for developers to use on a specific processor. This can bypass the constrictions of the JIT, which compiles each method only one time.",.NET
How is .NET different from Laravel?,"Laravel is another framework for development that web developers might be familiar with. .Net and Laravel differ in aspects like the languages they use, the security measures they take and their use of third-party libraries.",.NET
What does JIT stand for in .NET?,JIT is the abbreviation of Just in Time. It is a compiler that is used to convert intermediate code into native code easily.,.NET
What is the meaning of MSIL?,"MSIL is the abbreviation of Microsoft Intermediate Language. It is used to provide the instructions required for operations such as memory handling, exception handling, and more. It can also provide instructions to initialize and store values and methods easily.",.NET
What is CTS?,CTS stands for Common Type System. It is a set of structured rules that govern what a data type should be for the corresponding values given by a user. It is used to describe all of the data types that are used in an application that the user is building.,.NET
What is CLS?,CLS stands for Common Language Specification in .NET. It is put into place to ensure that the application developer is capable of inter-language operations if required. It is a reusable aspect among all of the .NET compatible languages.,.NET
What does CLR stand for in .NET?,"CLR stands for Common Language Runtime. It forms to be the most vital component of .NET as it provides the foundation for many applications to run on. If a user writes an application in C#, it gets compiled and converted to intermediate code. After this, CLR takes up the code and works on it with respect to the following aspects: Memory management, Security protocols, Libraries for loading, Thread management",.NET
What is the meaning of state management in .NET?,"State management, as the name suggests, is used to constantly monitor and maintain the state of objects in the runtime. A web page or a controller is considered to be an object. There are two types of state management: Client-side: It is used to store information on the client’s machine and is formed mostly of reusable and simple objects. Server-side: It stores the information on the server and makes it easier to manage and preserve the information on the server. ",.NET
What is the meaning of LINQ?,"LINQ is the abbreviated form of Language Integrated Query. It was first brought out in 2008, and it provides users with a lot of extra features when working with the .NET framework. One highlight is that it allows the users to manipulate data without any dependency on its source.",.NET
What is an assembly in .NET?,An assembly is the simple collection of all of the logical units present. Logical units are entities that are required to build an application and later deploy the same using the .NET framework. It can be considered as a collection of executables and DLL files.,.NET
What is the meaning of caching?,"Caching is a term used when the data has to be temporarily stored in the memory so that an application can access it quickly rather than looking for it in a hard drive. This speeds up the execution to an exponential pace and helps massively in terms of performance. There are three types of caching: Data caching, Page caching, Fragment caching",.NET
Is it possible to manually set a timeout for a session in .NET?,"Yes, it is possible to manually set a session’s out time. It can easily be done by manipulating the web.config file.",.NET
What are memory-mapped files used for in .NET?,Memory-mapped files in .NET are used to instantiate the contents of a logical file into the address of the application. This helps a user run processes simultaneously on a single machine and have the data shared between processes. The MemoryMappedFile.CreateFromFiles() function is used to obtain a memory-mapped file object easily.,.NET
What is the meaning of garbage collection?,"Garbage collection is a process that is used to maintain various aspects of memory to prevent memory leaks during program execution. An entity called the garbage collector is used to allocate and de-allocate memory as and when required by an application. This is done by performing checks on the references of variables and objects used by the application. If an object is no longer required by the application, the memory is de-allocated and freed up.",.NET
What is the use of delegation in .NET?,"A delegate works similar to that of a function pointer of other programming languages. It provides a way to encapsulate the reference of a method in an object. A delegate object can be easily passed to a program after this, and then a method, which was referenced earlier, can be called. Custom events can also be created in the class using a delegate.",.NET
What is the meaning of AutoPostBack in .NET?,"AutoPostBack is a property in the .NET framework, which provides automatic postback whenever an event starts its execution cycle. To use AutoPostBack, you have to set the property to True.",.NET
How many elements can a tuple hold in .NET?,"A tuple in .NET can hold anywhere up to eight elements. If there are more than eight elements at a time, each of those extra elements gets defined into a separate tuple.",.NET
What is the meaning of role-based security in .NET?,"Role-based security, as the name suggests, is a measure implemented in .NET to provide security access based on the roles assigned to users. Examples include the provision of access to users, administrators, and guests.",.NET
What do you mean by cross-page posting?,"Consider the situation where you press the submit button on a webpage. Here, the data is stored on the same page. However, if the data has to be stored on a different page and linked to the current one, it would be called a cross-page post.",.NET
How does managed code execute in the .NET framework?,"There are four main steps that include in the execution of the managed code. They are as follows: Choosing a compiler that can execute the code written by a user, Conversion of the code into Intermediate Language (IL) using a compiler, IL gets pushed to CLR, which converts it into native code using JIT, Native code is now executed using the .NET runtime",.NET
Explain the boxing and unboxing concept in .Net?,Boxing is a process of converting value type into reference type. Unboxing is a process of converting reference type to value type.,.NET
What is manifest in .NET Framework?,"Manifest is used to store assembly metadata. It contains all the metadata which are necessary for following things. Version of assembly, Security identity, Scope of the assembly, To resolve references to resources and classes",.NET
How many types of memories are there in .Net?,There are two types of memories in .Net: stack and heap memory,.NET
Please explain an algorithm. What are some of its important features?,"An algorithm can be defined as a set of finite steps that when followed helps in accomplishing a particular task. Important features of an algorithm are clarity, efficiency, and finiteness.",general
Can you explain the top-down design approach?,"The top-down design approach is a methodology adopted for analyzing software. Instead of tackling a problem as a whole, it is first divided into a number of sub-problems. Each of them is then solved individually. The solutions are then combined to get the best solution.",general
What is a compiler?,"A compiler is a computer program that translates written code in one programming language into another language. Typically, compiler refers to a program that translates source code pertaining to a high-level programming language to a lower-level programming language for creating an executable program.",general
Can you please explain the DRY principle?,"DRY stands for Don’t Repeat Yourself. It is a software development principle that aims at reducing the repetition of software patterns. For achieving this, either the repetitive software patterns need to be replaced with abstractions or data normalization must be used.",general
What do you understand by LIFO and FIFO?,"LIFO and FIFO are two of the most popular forms of accessing, retrieving, and storing data. LIFO stands for Last In First Out. This means that in this approach the latest stored data is retrieved the first. This approach is followed in a stack. FIFO stands for First In First Out and is the opposite approach of LIFO. Here, the data that is stored the oldest is the one to be retrieved first. FIFO approach is followed in a queue.",general
Why do we use Huffman’s algorithm?,"For extending binary trees that have minimum weighted path length from given weights, we use Huffman’s algorithm. It uses a table containing the total number of times for each data element.",general
What is MVC?,"MVC is nothing but a combination of components, that is, Model, View, and Controller. As the name says, the Model comprises of the necessary application data, View is the component used as a display and controlling activities, and Controller is the connecting component between the Model and View components of the MVC",general
What is Liskov substitution principle?,"At a high level, the principle is that if we substitute a superclass object reference with an object of any of its subclasses, the program should not break.",general
